#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,interface
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T20:50:00Z,25466844.566666666,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T21:00:00Z,25606696.85,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T21:10:00Z,25742881.65,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T21:20:00Z,25871334.966666665,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T21:30:00Z,26007855.733333334,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T21:40:00Z,26132120.7,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T21:50:00Z,26277733.6,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T22:00:00Z,26425556.5,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T22:10:00Z,26559239.55,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T22:20:00Z,26692032.983333334,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T22:30:00Z,26827116.7,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T22:40:00Z,26963322.65,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T22:50:00Z,27095392.983333334,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T23:00:00Z,27226028.116666667,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T23:10:00Z,27368297.316666666,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T23:20:00Z,27509407.3,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T23:30:00Z,27649347.15,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T23:40:00Z,27768997.116666667,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-19T23:50:00Z,27892926.35,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-20T00:00:00Z,28017351.6,bytes_recv,net,35c4ab29f7e3,eth0
,,0,2025-04-19T01:31:55.28346075Z,2025-04-21T01:31:55.28346075Z,2025-04-20T00:10:00Z,28156727.433333334,bytes_recv,net,35c4ab29f7e3,eth0
