#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,chip,feature,host
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T17:20:00Z,32.45,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T17:30:00Z,32.30833333333333,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T17:40:00Z,32.125,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T17:50:00Z,32.05833333333333,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T18:00:00Z,32.125,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T18:10:00Z,32.291666666666664,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T18:20:00Z,32.25,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T18:30:00Z,32.291666666666664,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T18:40:00Z,32.00833333333333,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T18:50:00Z,31.875,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T19:00:00Z,31.991666666666667,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T19:10:00Z,32.13333333333333,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T19:20:00Z,32.016666666666666,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T19:30:00Z,32.125,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T19:40:00Z,32.4,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
,,0,2025-04-19T01:04:55.027570981Z,2025-04-21T01:04:55.027570981Z,2025-04-19T19:50:00Z,32.18333333333333,temp_input,sensors,coretemp-isa-0000,core_0,35c4ab29f7e3
